Unnamed: 0,Name,City,Address,Phone Number,Venue Type,Capacity,Amenities
0,South Carolina State Museum,Columbia,,"301 Gervais Street 
Columbia, SC 29201, US", , ,A/V Equipment
1,Macaroni Grill North Olmsted,North Olmsted,,"25001 Country Club Blvd. 
North Olmsted, OH 44070, US",,Minimum Guests: 15, 
2,Macaroni Grill North Olmsted,North Olmsted,,"25001 Country Club Blvd. 
North Olmsted, OH 44070, US",Restaurant,Seated: 120,Bar Packages
3,Macaroni Grill North County Fair,Escondido,Mission Bay,"202 E Via Rancho Pkwy. 
Escondido, CA 92025, US",Restaurant,Seated: 260,Bar Packages
4,Macaroni Grill North County Fair,Escondido,Mission Bay,"202 E Via Rancho Pkwy. 
Escondido, CA 92025, US",, , 
5,North Corner Haven,Lancaster,,"3454 Activity Road  
Lancaster, SC 29720, US","Event Space, Unique", , 
6,North Italia - Charlotte,Charlotte,Downtown Charlotte,"1414 S Tryon St 
Charlotte, NC 28203, US",Restaurant, , 
7,Plum Market Ann Arbor North Campus,Ann Arbor,,"3601 Plymouth Road  
Ann Arbor, MI 48105, US",Catering, , 
8,Caroline Restaurant & Upstairs at Caroline,Austin,Downtown,"109 East 7th St. 
Austin, TX 78701, US",,Seated: 100, 
9,Red Robin North OP,Overland Park,In-House Catering,"7111 W 95th St 
Overland Park, KS 66212, US",, , 
10,Camp North End,Charlotte,Druid Hills South,"Mail To: Camp Events, LLC 
Charlotte, NC 28206, US","Other, Unique", ,A/V Equipment
11,The North House,Avon,,"1 Nod Road 
Avon, CT 06001, US","Restaurant, Event Space, Wedding Venue", , 
12,Hawksworth Catering,Vancouver,,"1780 W 3rd Ave 
Vancouver, BC V6J 1K4, CA",Catering, , 
13,Francesca's North - Northbrook,Northbrook,,"1145 Church Street 
Northbrook, IL 60062, US",Restaurant, , 
14,Macaroni Grill Northridge,"Los Angeles, Northridge",Northridge,"19400 Plummer St. 
Northridge, CA 91324, US",,Seated: 52,Handicap Accessible
15,Macaroni Grill Fort Worth - University,Fort Worth,"Arlington Heights, Eastside","1505 S University Dr. 
Fort Worth, TX 76107, US",Restaurant,Seated: 160,Bar Packages
16,North 45 Pub,"Portland, Milwaukie","Southwest Hills, Linnton, Historic Milwaukie, Forest Park, Northwest","517  Northwest 21st Avenue 
Portland, OR 97209, US",,Seated: 60,A/V Equipment
17,North Italia - Summerlin,Las Vegas,The Lakes,"1069 South Rampart Blvd. 
Las Vegas, NV 89145, US",Restaurant, ,Handicap Accessible
18,Macaroni Grill Carrollwood,Tampa,Riverside,"14904 N Dale Mabry Hwy. 
Tampa, FL 33618, US",Restaurant,Seated: 250,A/V Equipment
19,Carolina Ale House Vista,Columbia,,"708 Lady Street 
Columbia, SC 29201, US",, ,Handicap Accessible
20,Carolina Ale House | Charleston,Charleston,,"145  Calhoun Street 
Charleston, SC 29401, US",,Seated: 500,Handicap Accessible
21,North Italia - Reston,Reston,Sunset Hills,"11898 Market St. 
Reston, VA 20190, US",Restaurant, , 
22,Noble Crust Carollwood,Tampa,Riverside,"11618 N Dale Mabry Hwy 
Tampa, FL 33618, US","Restaurant, Event Space, Other", ,Full Bar
23,Macaroni Grill Carrollwood,Tampa,Riverside,"14904 N Dale Mabry Hwy. 
Tampa, FL 33618, US",,Minimum Guests: 15, 
24,Centrolina,Washington,Downtown,"974  Palmer Alley Northwest 
Washington, DC 20268, US",,Seated: 60, 
25,The Observatory North Park,San Diego,"Jomacha-Lomita, Mission Bay, North Hills, North Park","2891  University Avenue 
San Diego, CA 92104, US","Event Space, Theatre, Unique",Seated: 550, 
26,North Hall at Eastern Market,Washington,Capitol Hill,"225 Seventh Street SE 
Washington, DC 20003, US",Event Space,Standing: 350,A/V Equipment
27,North Conway Grand Hotel,North Conway,North Conway,"72 Common Ct 
North Conway, NH 03860, US",Hotel, , 
28,Bertucci's North Attleboro,North Attleboro,,"999 South Washington, Emerald Square Mall 
North Attleboro, MA 02760, US",Restaurant, , 
29,Original Joe's - North Beach,San Francisco,"North Beach, Telegraph Hill","601 Union Street 
San Francisco, CA 94133, US",Restaurant,Seated: 10,Patio
30,North Beach Restaurant,San Francisco,"Chinatown, Financial District, North Beach","1512 Stockton Street 
San Francisco, CA 94133, US","Restaurant, Event Space, Bar, Meeting Space, Unique", ,A/V Equipment
31,CH Northeast,Portland,"Southwest Hills, Historic Milwaukie, Irvington, Forest Park, Sullivan's Gulch","2218 NE Broadway St 
Portland, OR 97232, US","Event Space, Wedding Venue", ,A/V Equipment
32,Showcase Cinema de Lux North Attleboro,North Attleboro,,"840 South Washington Street   
North Attleboro, MA 02760, US",, , 
33,Indianola/Miss Carousel,Houston,,"1201 Saint Emanuel Street 
Houston, TX 77003, US",Restaurant, , 
34,IPIC North Miami Beach,North Miami Beach,Eastern Shores,"3701 NE 163rd St 
North Miami Beach, FL 33160, US",, ,A/V Equipment
35,007 Uncle Julio's - North Ave,Chicago,River North,"855 West North Avenue 
Chicago, IL 60642, US",,Seated: 60,Street Parking
36,Vuka - North Loop,Austin,Brentwood,"5540 North Lamar Boulevard 
Austin, TX 78756, US","Event Space, Unique", , 
37,Vuka - North Loop,Austin,Brentwood,"5540 North Lamar Boulevard 
Austin, TX 78756, US","Event Space, Unique", , 
38,IPIC North Miami Beach,North Miami Beach,Eastern Shores,"3701 NE 163rd St 
North Miami Beach, FL 33160, US","Restaurant, Event Space, Theatre, Other, Cocktail Lounge, Entertainment, Unique", ,A/V Equipment
39,New Bohemia - North East,Minneapolis,East Bank-Nicollet Island,"233  East Hennepin Avenue 
Minneapolis, MN 55414, US",,Seated: 100,A/V Equipment
40,Bertucci's North Andover,North Andover,,"435 Andover Street 
North Andover, MA 01845, US",Restaurant, , 
41,Castaways on North Avenue Beach,Chicago,"Lincoln Park, Old Town Triangle"," 1603 N. Lake Shore Drive North Ave. Beach  
Chicago, IL 60614, US","Restaurant, Cocktail Lounge, Unique", , 
42,Carolina Ale House | Summerville,In-House Catering,In-House Suppliers Only,"191 Sigma Drive 
,  29483, ",,Seated: 500,Handicap Accessible
43,NM Cafe - Dallas NorthPark,Dallas,North Dallas,"8687 North Central Expy, Suite 400 
Dallas, TX 75225, US",Restaurant, ,Valet Parking
44,Fort Collins Biergarten,Fort Collins,,"2351 Busch Drive 
Fort Collins, CO 80524, US","Event Space, Other, Entertainment, Unique", ,Handicap Accessible
45,Macaroni Grill Annapolis,Annapolis,In-House Catering,"178 Jennifer Rd. 
Annapolis, MD 21401, US",,Seated: 72, 
46,Macaroni Grill Corona,Corona,In-House Catering,"3591 Grand Oaks 
Corona, CA 92881, US",, , 
47,Macaroni Grill Corona,Corona,,"3591 Grand Oaks 
Corona, CA 92881, US",Restaurant,Seated: 270,Bar Packages
48,Soho South Café,"Savannah, Savananah",In-House Catering,"Soho South Cafe 
Savananah, GA 31401, US",,Seated: 150,A/V Equipment
49,Meadowlark North Fork by Macari Vineyards,Cutchogue,,"24385 Main Road 
Cutchogue, NY 11935, US",, , 
50,The Collins Quarter at Forsyth Park,Savannah,,"621 Drayton Street 
Savannah, GA 31401, US",Restaurant, ,Flexible Floor Plan
51,Ruth's Chris Steak House Indianapolis Northside,Indianapolis,,"2727 East 86th Street 
Indianapolis, IN 46240, US",,Seated: 200, 
52,Emporium Fort Collins,Fort Collins,,"378  Walnut Street 
Fort Collins, CO 80524, US",,Seated: 120, 
53,"One North Kitchen and Bar, Lansing",Lansing,,"5001 West Saginaw Highway 
Lansing, MI 48917, US","Restaurant, Bar, Meeting Space, Catering, Cocktail Lounge, Entertainment",Seated: 400,A/V Equipment
54,Ainsworth East Village,"New York, Manhattan","Greenwich Village, Steinway, Red Hook, Manhattan","64 3rd Ave 
New York, NY 10003, US",Restaurant,Standing: 600, 
55,204 North,Charlotte,Fourth Ward,"204 North Tryon Street 
Charlotte, NC 28202, US",,Seated: 175,A/V Equipment
56,1000 North,Jupiter,,"1000 North US Hwy 1 
Jupiter, FL 33477, US",Restaurant, ,Great Views
57,Moe's Cantina - River North,Chicago,River North,"155 W. Kinzie Street 
Chicago, IL 60654, US",, , 
58,Carrol's Creek Cafe,Annapolis,,"410 Severn Avenue 
Annapolis, MD 21403, US",, , 
59,Gino's East - River North / LaSalle,Chicago,River North,"500 N. LaSalle St. 
Chicago, IL 60654, US","Restaurant, Entertainment",Seated: 15,Full Bar
60,Nora Spanish Catering,Berkeley,,"2207 Fourth Street 
Berkeley, CA 94710, US",, , 
61,Bright River North Office,Chicago,River North,"600 W Chicago Ave, Chicago, IL 60654, USA 
Chicago, IL , US",,Seated: 80,A/V Equipment
62,"One North Kitchen and Bar, Jackson",Jackson,,"2115 Bondsteel Drive 
Jackson, MI 49202, US","Restaurant, Event Space, Bar, Meeting Space, Co-working Space, Catering",Seated: 400,A/V Equipment
63,Cane Rosso Carrollton,Carrollton,,"1301 S. Broadway 
Carrollton, TX 75006, US",Restaurant, ,Full Bar
64,Pinstripes - Northbrook,Northbrook,,"1150 Willow Road 
Northbrook, IL 60062, US","Entertainment, Unique", , 
65,The Ranch at Las Colinas,Irving,"Eastside, Freeport/Hackberry","857 W. John Carpenter Fwy. 
Irving, TX 75039, US",Restaurant,Standing: 500, 
66,Stella Barra Pizzeria - North Bethesda,North Bethesda,,"11825 Grand Park Ave 
North Bethesda, MD 20852, US",, , 
67,Northwest Event Center,Oklahoma City,,"6009 NW Expressway 
Oklahoma City, OK 73132, US","Event Space, Wedding Venue", ,Flexible Floor Plan
68,Dry Dock Brewing Co - North Dock,Aurora,,"2801 Tower Rd.  
Aurora, CO 80011, US","Event Space, Wedding Venue, Brewery, Entertainment", ,Bar Packages
69,The Smith Catering Department,"New York, Manhattan","Soho, Steinway, Red Hook, Manhattan","270 Lafayette  
New York, NY 10012, US",, , 
70,Anoush Catering,Glendale,,"109 East Harvard Street 
Glendale, CA 91205, US",Catering, , 
71,The Porch Catering,Brattleboro,,"648  Putney Road 
Brattleboro, VT 05301, US",, , 
72,Macaroni Grill S. Portland,South Portland,In-House Catering,"415 Philbrook Ave. Suite 100 
South Portland, ME 04106, US",, , 
73,Woolworth Theatre,Nashville,,"223 Rep. John Lewis Way North 
Nashville, TN 37219, US","Restaurant, Theatre", ,A/V Equipment
74,Woolworth Theatre,Nashville,,"223 Rep. John Lewis Way North 
Nashville, TN 37219, US","Restaurant, Theatre", ,A/V Equipment
75,Macaroni Grill Colonie,Albany,In-House Catering,"1 Metro Park Rd. 
Albany, NY 12205, US",,Seated: 40,Handicap Accessible
76,Macaroni Grill S. Portland,South Portland,,"415 Philbrook Ave. Suite 100 
South Portland, ME 04106, US",Restaurant,Seated: 240,Bar Packages
77,Macaroni Grill Church Ranch,Westminster,,"10411 Town Center Dr. 
Westminster, CO 80021, US",, , 
78,Jax Fish House - Fort Collins,Fort Collins,Old Town West,"123 NORTH COLLEGE AVE 
Fort Collins, CO 80524, US",Restaurant, , 
79,NM Cafe - Fort Worth,Fort Worth,Arlington Heights,"5200 Monahans Avenue 
Fort Worth, TX 76109, US",Restaurant, , 
80,Whiskey Cake - Las Colinas,Irving,"Eastside, Freeport/Hackberry","3225 Regent Blvd 
Irving, TX 75063, US","Restaurant, Event Space, Catering, Cocktail Lounge", ,Patio
81,North Wales - Harvest Seasonal Grill & Wine Bar,North Wales,In-House Catering,"1460 Bethlehem Pike 
North Wales, PA 19454, US",Restaurant, , 
82,Macaroni Grill Church Ranch,Westminster,,"10411 Town Center Dr. 
Westminster, CO 80021, US",Restaurant,Seated: 200,Bar Packages
83,Macaroni Grill Honolulu,Honolulu,Ala Moana-Kakaako,"1450 Ala moana blvd 
Honolulu, HI 96814, US",Restaurant,Seated: 330,Bar Packages
84,Stanford's Northgate,Seattle,Northgate,"401 NE Northgate Way 
Seattle, WA 98125, US","Restaurant, Catering, Cocktail Lounge", , 
85,Will's Northwoods Inn,Chicago,Lake View,"3030 N. Racine St. Chicago, IL 60657 
Chicago, IL 60657, US",, , 
86,One Catering - Taco Molino,Fort Mill,,"1328 Broadcloth St 
Fort Mill, SC 29715, US",Restaurant, ,A/V Equipment
87,Northern Oaks Events,Sauk Rapids,,"6241 5th Avenue Northeast 
Sauk Rapids, MN 56379, US",Event Space, , 
88,The Great Northern,San Francisco,Mission,"119 Utah Street 
San Francisco, CA 94103, US",, , 
89,Hudson Grille NorthPoint,"Atlanta, East Point",In-House Catering,"865 North MAIN St 
Atlanta, GA 30009, US",,Seated: 300,Street Parking
90,Macaroni Grill Corpus Christi,Corpus Christi,South Side,"5133 S Padre Island Dr. 
Corpus Christi, TX 78411, US",,Seated: 50,Handicap Accessible
91,Ainsworth Hoboken,Hoboken,Red Hook,"310 Sinatra Drive 
Hoboken, NJ 07030, US",Restaurant, , 
92,LouVino Indianapolis,Indianapolis,Downtown,"530 Massachusetts Ave 
Indianapolis, IN 46204, US","Restaurant, Event Space", ,A/V Equipment
93,Indianapolis Artsgarden,Indianapolis,Downtown,"924 N. Pennsylvania St. 
Indianapolis, IN 46204, US",, ,A/V Equipment
94,The Carlisle Room,Dallas,Farmers Market District,"1990 Jackson St. 
Dallas, TX 75201, US","Wedding Venue, Unique", ,Bar Packages
95,The Carlyle,Atlanta,"Morningside-Lenox Park, Lindridge - Martin Manor","1919 Piedmont Road NE 
Atlanta, GA 30324, US","Event Space, Wedding Venue",Standing: 500,A/V Equipment
96,Lincoln South Food Hall,Bellevue,Downtown,"Lincoln South, 2nd Floor  
Bellevue, WA 98004, US","Restaurant, Catering, Unique", ,Handicap Accessible
97,Lolita Cocina & Tequila Bar - Fort Point,Boston,South Boston,"253 Summer St 
Boston, MA 02210, US",Restaurant, ,Full Bar
98,Magnolia Grill Catering,Richmond Hill,,"2457 Hwy 17 
Richmond Hill, GA 31324, US",Catering, , 
99,Ruth's Chris Steak House Northbrook,Northbrook,,"933 Skokie Boulevard 
Northbrook, IL 60062, US",,Seated: 60,A/V Equipment
100,Mahogany Prime Steakhouse - North OKC,Oklahoma City,,"3241 West Memorial Rd 
Oklahoma City, OK 73134, US","Restaurant, Event Space, Cocktail Lounge", ,A/V Equipment
101,Maggiano's Little Italy Northpark,Dallas,North Dallas,"205 NorthPark Center 
Dallas, TX 75225, US","Restaurant, Event Space, Catering", ,A/V Equipment
102,Union Kitchen & Tap North County San Diego,Encinitas,,"1108 South Coast Highway 101 
Encinitas, CA 92024, US","Restaurant, Cocktail Lounge", , 
103,Cross Campus South Bay,"Los Angeles, El Segundo",Harbor Gateway,"840  Apollo Street 
El Segundo, CA 90245, US",,Seated: 200,A/V Equipment
104,Ruth's Chris Steak House North Palm Beach,North Palm Beach,,"661 U.S. Highway 1 
North Palm Beach, FL 33408, US",,Seated: 50, 
105,PLA Sports Bar at The Seminole Hard Rock Hotel & Casino,Davie,,"1 Seminole Way 
Davie, FL 33314, US","Restaurant, Event Space, Bar, Entertainment, Unique", ,A/V Equipment
106,CAMP South Norwalk,Norwalk,,"100 North Water Street 
Norwalk, CT 06854, US","Event Space, Entertainment, Unique", , 
