,Name,Address,Website,Phone Number,Social Page,Social Page,Price Pdf link
0,Nonantum Resort,"95 Ocean Avenue, Kennebunkport, ME",https://www.nonantumresort.com/weddings/best-wedding-venues-in-maine/?utm_source=THEKNOT&utm_medium=STOREFRONT&utm_campaign=2020&utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(800) 552-5651,http://www.facebook.com/pages/the-nonantum-resort/111469355559384,http://www.twitter.com/nonantumresort,https://pricing-sheets.s3.amazonaws.com/6bf5e049-1d94-48ff-8462-a4bf00be34c5/8ac000bcb345b1f237647a5484198ac4b0829cb8/bafc6664-b2e6-462a-906d-1a6010d522cf
1,"Whitney Farm Estate, LLC...Where Elagance Meets Nature","556 East Oxford Rd, Oxford, ME",http://www.whitneyfarmestate.com.dream.website/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(207) 212-1400,https://www.facebook.com/whitneyfarmestate,http://www.instagram.com/whitneyfarmestate, 
2,Newagen Seaside Inn,"60 Newagen Colony Road, Southport, ME",http://www.instagram.com/https://www.instagram.com/newagenseasideinn/,(207) 633-5242,https://www.facebook.com/newagenseasideinn/?ref=br_rs,http://www.instagram.com/https://www.instagram.com/newagenseasideinn/, 
3,Linekin Bay Resort,"92 Wall Point Road, Boothbay Harbor, ME",http://www.instagram.com/linekinbayresort,(207) 633-2494,http://www.facebook.com/home.php#!/linekinbayresort,http://www.instagram.com/linekinbayresort, 
4,Village By The Sea - Wells Maine,"1373 Post Rd, Wells, ME",http://www.twitter.com/VillageByTheSea,(207) 646-1100 ext. 1016,https://www.facebook.com/vbtsme,http://www.twitter.com/VillageByTheSea,https://pricing-sheets.s3.amazonaws.com/291efdb3-4b2b-400c-859f-55aa881b3536/47eb5d3f37f78d0654609a2b8a68c258b7c005f3/fce638fe-c164-4756-addc-89ff5eb17a24
5,Cunningham Farm Events,"1007 INTERVALE ROAD, New Gloucester, ME",https://www.cunninghamfarmmaine.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(207) 926-8329,http://www.instagram.com/cunninghamfarmmaine,http://www.pinterest.com/cunninghamfarmmaine/, 
6,Noble House Inn,"81 Highland Road, Bridgton, ME",http://www.noblehousebb.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(207) 647-3733,http://www.facebook.com/NobleHouseInn,http://www.instagram.com/noble_house_Inn, 
7,Saddleback Mountain,"976 Saddleback Mountain Road, Rangeley, ME", ,(120) 786-45671 ext. 133,http://www.instagram.com/saddlebackmaineweddings,http://www.pinterest.com/saddlebackmaineweddings,https://pricing-sheets.s3.amazonaws.com/3b98c662-ccc4-4ded-983d-f10dac0104b0/8e5b2d219a01db82fa7badcaaac0589fe63540a2/55120dda-bf85-4769-bb3f-dd2e37e96545
8,Penobscot Bay Weddings & Events,"157 Holmes Street, Winterport, ME",https://www.penobscotbayweddings.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(207) 669-2296,https://www.facebook.com/penobscotbayweddings,http://www.instagram.com/penobscotbayweddings,https://pricing-sheets.s3.amazonaws.com/32e622a1-dbe4-405d-8530-1611c26fa1fb/d73b284d8b948338a80e4ff11a18db184d0b43f6/d4361ba5-44f6-4d4e-995b-3ed273703d98
9,Meadowbrook Reception Center,"34 Lois Ln, Eddington, ME",http://www.twitter.com/@meadowbrook_rc,(207) 356-1454,https://www.facebook.com/Meadowbrook-Reception-Center-102869256439592,http://www.twitter.com/@meadowbrook_rc, 
10,Golden Pine Farm,"76 Haines Corner Road, Livermore Falls, ME", ,(207) 841-9244,https://www.goldenpinefarm.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot, , 
11,The Press Hotel,"119 Exchange St., Portland, ME",http://thepresshotel.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(207) 808-8800 ext. 8706,https://www.facebook.com/thepresshotel/,http://www.instagram.com/thepresshotel, 
12,Bayside Bowl,"58 Alder St, Portland, ME",http://www.twitter.com/baysidebowl,(207) 712-9797,https://www.facebook.com/baysidebowl,http://www.twitter.com/baysidebowl, 
13,Dunegrass Golf Club,"65 Wild Dunes Way, Old Orchard Beach, ME",http://www.twitter.com/dunegrasscc,(207) 934-4513 ext. 201,https://www.facebook.com/dunegrassweddingsevents/,http://www.twitter.com/dunegrasscc, 
14,The Bethel Inn Resort,"21 Broad Street, Bethel, ME",https://www.facebook.com/bethelinnresort/,(207) 824-2175 ext. 496,https://www.facebook.com/bethelinnresort/,http://www.twitter.com/BethelInnResort,https://pricing-sheets.s3.amazonaws.com/3e289e0f-6064-42f3-b97b-736cb011229a/eb11d7bf9e07eb78b7a16ee839a06c8113084bbf/c7997ebc-5128-419d-a90d-98bebff6cb7c
15,Maine Wedding Barn & Event Center at Farview Farm,"418 Center Minot Hill Rd., Minot, ME",http://www.twitter.com/http://@MEweddingbarn,(207) 577-1373,http://maine%20wedding%20barn%20%26%20event%20center%20at%20farview%20farm/,http://www.twitter.com/http://@MEweddingbarn,https://pricing-sheets.s3.amazonaws.com/4b1918f8-867c-4363-8d08-a33b0103c493/a6d3c0097ba3b78d0e296737d5cc210591ba7fe3/8a44c157-19e8-4bdc-8b36-21b0afe203c7
16,Camp Wildwood,"318 Wildwood Road, Bridgton, ME",http://www.campwildwood.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(207) 647-8864,https://www.facebook.com/thecampwildwood/,http://www.instagram.com/https://www.instagram.com/thecampwildwood/?hl=en, 
17,Greenwood Garden on Peaks Island,"2 Garden Pl, Portland, ME", ,(207) 766-2100,https://www.facebook.com/pages/Peaks%20Island%20Lions%20Club/1634194273535245/,https://www.facebook.com/pages/Peaks%20Island%20Lions%20Club/1634194273535245/, 
18,Saltwater Grille,"231 Front Street, South Portland, ME", ,(207) 799-5400,https://www.facebook.com/pages/Saltwater-Grille-So-Po-Maine/282482973955,https://www.facebook.com/pages/Saltwater-Grille-So-Po-Maine/282482973955, 
19,Wolf and Harp,"76 Pleasant Street, Norway, ME", ,(207) 561-0907,https://www.facebook.com/wolfandharpmaine/,http://www.instagram.com/https://www.instagram.com/wolfandharp/, 
20,Westin Portland Harborview Hotel,"157 High Street, Portland, ME",http://www.twitter.com/WestinME,(207) 517-8841,https://www.facebook.com/pages/the-westin-portland-harborview-hotel/422320417817462,http://www.twitter.com/WestinME, 
21,Rí Rá Irish Pub & Restaurant,"72 Commercial Street, Portland, ME",http://www.twitter.com/riraportland,(207) 409-4908,https://www.facebook.com/riraportland,http://www.twitter.com/riraportland, 
22,Peakes Hill Lodge,"40 Peakes Hill Rd, Dedham, ME", ,(207) 944-8319,https://www.facebook.com/The-Peakes-Hill-Lodge-107088764665/,http://www.instagram.com/http://www.instagram/peakeshilllodge, 
23,Diamond's Edge Restaurant & Marina,"468 Fore Street, Portland, ME",http://www.twitter.com/Diamondsrest,(207) 523-2050,https://www.facebook.com/diamondsedgerestaurantandmarina,http://www.twitter.com/Diamondsrest, 
24,The Lucerne Inn,"2517 Main Rd., Dedham, ME",https://www.facebook.com/pages/the-lucerne-inn/130062267302,(207) 843-5123,https://www.facebook.com/pages/the-lucerne-inn/130062267302,http://www.twitter.com/LucerneInnEvent,https://pricing-sheets.s3.amazonaws.com/concierge/2430-8aa9ca7f-be47-4dff-bfc7-978b5d891e24.pdf
25,Canopy by Hilton Portland Waterfront,"9 Center Street, Portland, ME",http://www.canopyportlandwaterfront.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot,(207) 791-0005,https://www.facebook.com/CanopyPortlandWaterfront,http://www.instagram.com/Canopy_Portland_Waterfront, 
