Reg No.,First Name,Last Name,Reg Status
5978,Komal Ali,Abbas,Registered
1662,Vince,Abela,Registered
3731,Murray,Ackroyd,Registered
1960,Matthew,Adams,Registered
5201,Ursula,Adams,Registered
2496,Ian,Adamson,Registered
6164,Kevin,Adasko,Registered
5422,Kirsty,Addison,Registered
5518,Simon,Adnitt,Registered
5220,Lance,Adolph,Registered
5571,Gregory,Adsett,Registered
3384,Rob,Aerts,Registered
3509,Jennie,Aerts,Registered
4265,Heber,Ah Mu,Registered
1958,Paul,Ahmad,Registered
1954,Jane,Aimer,Registered
3420,Chris,Ainsworth,Registered
5240,Richard,Ainsworth,Registered
1269,Brian,Aitken,Registered
3498,Jo,Aitken,Registered
3649,Rula,Alatia,Registered
2163,Emma,Alcock,Registered
5690,Keziah,Alcorn,Registered
5398,Dan,Alexander,Registered
5741,Helena,Alexander,Registered
