REG NO,FIRST NAME,LAST NAME,REG STATUS
5978,Komal Ali,Abbas,Registered
1662,Vince,Abela,Registered
3731,Murray,Ackroyd,Registered
1960,Matthew,Adams,Registered
5201,Ursula,Adams,Registered
2496,Ian,Adamson,Registered
6164,Kevin,Adasko,Registered
5422,Kirsty,Addison,Registered
5518,Simon,Adnitt,Registered
5220,Lance,Adolph,Registered
5571,Gregory,Adsett,Registered
3384,Rob,Aerts,Registered
3509,Jennie,Aerts,Registered
4265,Heber,Ah Mu,Registered
1958,Paul,Ahmad,Registered
1954,Jane,Aimer,Registered
3420,Chris,Ainsworth,Registered
5240,Richard,Ainsworth,Registered
1269,Brian,Aitken,Registered
3498,Jo,Aitken,Registered
3649,Rula,Alatia,Registered
2163,Emma,Alcock,Registered
5690,Keziah,Alcorn,Registered
5398,Dan,Alexander,Registered
5741,Helena,Alexander,Registered
,,,
1496,Bill,Algie,Registered
2426,Graham,Allen,Registered
3775,Luke,Allen,Registered
5237,Russell,Allen,Registered
5407,Rachel,Allen,Registered
5768,Anthony,Allen,Registered
3601,Cymon,Allfrey,Registered
1704,Everard,Allison,Registered
5375,Peter,Allison,Registered
4226,Richard,Almand,Registered
3043,Haitham,Alrubayee,Registered
6167,Dahlia,Al-Timimi,Registered
3319,Maan,Alzaher,Registered
4913,Madushin,Amarasekera,Registered
3511,Jorgen,Andersen,Registered
1962,Andy,Anderson,Registered
2170,John,Anderson,Registered
2619,Anthony,Anderson,Registered
3059,Christian,Anderson,Registered
5513,Shaun,Anderson,Registered
5053,Hannah,Andrew,Registered
2859,Mike,Angelo,Registered
3562,Mark,Ansell,Registered
2056,Sara,Antonievich,Registered
6014,Sally,Apthorp,Registered
,,,
6193,Ana,Aranguren Sanchez-Ostiz,Registered
3021,Arch,Archbold,Registered
4270,Matthew,Argyle,Registered
1368,Neil,Armstrong,Registered
4926,Tim,Asby,Registered
5007,Christopher,Ashford,Registered
3044,Tammy,Ashley,Registered
2269,Peter,Ashton,Registered
3201,Sam,Atcheson,Registered
3146,Zac,Athfield,Registered
5158,Jaimin,Atkins,Registered
4946,Sol,Atkinson,Registered
2985,Carsten,Auer,Registered
5016,Daryl,Austin,Registered
1617,Kerry,Avery,Registered
3314,Patrick,Avery,Registered
4957,Evelyn,Axten,Registered
3202,Treiz,Azzu,Registered
5024,Joshua,Bacon,Registered
2250,Richard,Baigent,Registered
2635,Jason,Bailey,Registered
2289,David,Baird,Registered
1863,Barbara,Baker,Registered
2202,Nick,Baker,Registered
5416,John,Baker,Registered
,,,
5456,Reg,Baker,Registered
2057,Hans,Bakker,Registered
1328,Don,Baldwinson,Registered
3203,Nigel,Ball,Registered
2962,Nic,Ballara,Registered
3590,Paul,Bankier,Registered
5138,Andrew,Banks,Registered
1329,John,Bannatyne,Registered
2868,Grant,Bannatyne,Registered
5308,Matthew,Barbour,Registered
1772,Andrew,Barclay,Registered
4874,Karl,Barker,Registered
5319,Juliet,Barker,Registered
2516,Terry,Barnes,Registered
3153,Martin,Barr,Registered
5888,James,Barr,Registered
2058,Nicholas,Barratt-Boyes,Registered
5336,Hector,Barrientos,Registered
4353,Daniel,Barrington,Registered
3204,Marc,Barron,Registered
5861,Duncan,Barron,Registered
2906,Grant,Barrowman,Registered
2862,Paul,Barry,Registered
5257,Caroline,Bartlett,Registered
1549,Antony James,Bartley,Registered
,,,
1813,Tim,Barton,Registered
5300,Melodi,Barzandeh,Registered
2639,Joseph,Bashouri,Registered
5631,Aishwarya,Basrur,Registered
4322,Chris,Bassett,Registered
6077,Emily,Batchelor,Registered
2821,Mark,Bates,Registered
5425,Samuel,Baxter,Registered
1931,Mark,Baylis,Registered
5180,Amy,Bayliss,Registered
5391,Richard,Beatson,Registered
3060,Roger,Beattie,Registered
2023,Peter,Beaumont,Registered
5369,Brad,Beazley,Registered
3385,Ute,Becker,Registered
5998,Justin,Beckermann,Registered
4882,Christopher,Beer,Registered
2478,Adam,Begg,Registered
4904,Kate,Beilby,Registered
2009,Warwick,Bell,Registered
3022,Andrea,Bell,Registered
3150,Gabrielle,Bell,Registered
5302,Anya,Bell,Registered
3705,Delia,Bellaby,Registered
3550,Elsa,Benjamin,Registered
,,,
1822,John,Bennett,Registered
3180,Jeremy,Bennett,Registered
6008,Sian,Bennett,Registered
5124,Vance,Bentley,Registered
2730,Jason,Benton,Registered
5530,Holly,Beresford,Registered
5143,Sarah,Berry,Registered
4870,Sarah,Bertie,Registered
3713,Christian,Bertschinger,Registered
2034,Nick,Bevin,Registered
2362,Murali,Bhaskar,Registered
6127,Tuhiena,Bhaumik,Registered
2440,Stephen,Bigwood,Registered
1497,Glyn,Bilkey,Registered
