,Name,Phone Number,Address,Locality,Region,Postal Code,Description
0,The Architect Bar & Social House,919-833-4949,108 1/2 East Hargett Street,Raleigh,NC,27601,"The building was originally built in 1922, and when we found it we saw immediateÂ character. As we pulled away old sheetrock and insulation, we found beautiful brick walls and windows that had been covered for decades. It was our vision to create a space that had a synergy with the historic business neighborhood while adding some comfortable, yet stylish, elements. The design of drink menus, dÃ©cor and appeal has all centered around our name. If you look up at the ceiling or look at a satellite view of our address, youâ€™ll notice an enormous skylight in the shape of an arrow. We wanted a bar and social house, so we created a craft beer menu, a specialty cocktail list, brought music, and then dimmed the lights. We feel as if our space is a blank canvas to create all of your special event desires from corporate events, birthday parties, bridal showers, and weddings. Follow the arrow and you and your guests are sure to find a good time."
1,Kings North Hills,919-600-5700,141 Park at North Hills St,Raleigh,NC,27609,"From the start, Kings has focused on rekindling the fun and escape of bowling by creating a memorable entertainment experience, emphasizing good food, cold beer, creative cocktails and great music! Each Kings location features upscale, retro-inspired décor and executive-chef designed menus brought to life by our “best-in-industry” service. With varied entertainment options, themed nights, and state-of-the-art audio visual equipment, Kings sets itself apart as an unparalleled social scene for all occasions; be it a family outing, a date night hotspot, a corporate event or the best place in town to connect with friends."
2,The Point Event Center,919-467-9159,6904 Glenwood Ave,Raleigh,NC,27612,"The Point Event Center has a wonderful 5000 Sq Ft space available for your rental located near Crabtree Valley Mall. This includes an open foyer, kitchen space, conference room, 3 children's rooms, and a state of the art worship area. Perfect for intimate weddings, wedding showers, business meetings, conferences, seminars, and any special event! Contact us today for a FREE estimate!"
3,Point Event Center,919-537-9533,1402 East Williams Street,Apex,NC,27539,"Newly remodeled space at the Point Church Apex Campus is ideal for your next wedding, reception, corporate event, social gathering, civic group, and more. Large main hall with stage and audio/visual service can be arranged in a theater style, banquet hall, or cleared for open space. Outside catering is allowed."
4,Fleming's Prime Steakhouse & Wine Bar,(919) 571-6200,4325 Glenwood Ave,Raleigh,NC,27668,"Fleming's Prime Steakhouse & Wine Bar in Raleigh is an ongoing celebration of exceptional food and wine, featuring the finest cuts of aged prime steak and 100 wines by the glass. We are located at the Crabtree Valley Mall on Glenwood Ave, near North Raleigh, Country Club Hills, and Cameron Village."
5,Salsarita's Fresh Cantina,(919) 330-2878,204 Crossroads Blvd.,Cary,NC,27518,"We are a Mexican restaurant in Cary, NC. We provide the high quality, fresh ingredients, and friendly service. Salsarita's Fresh Cantina can also provide Catering for any occasion or event. This includes business lunches or dinners, office functions, social events, weddings, and parties. We have indoor and outdoor seating. We also serve beer and margarita's. We have daily specials, including kids night."
6,Burning Coal Theatre Company,(919)-834-4001,224 Polk Street,Raleigh,NC,27604,"Burning Coal Theatre Company is located in the historic Murphey School Auditorium. This beautiful flexible theatre space is available for rent for performances, weddings, receptions, parties, meetings and presentations."
7,The Ritz,919.424.1357,2820 Industrial Drive,Raleigh,NC,27609,"With an artistic legacy rooted in rock and roll, the recently revitalized The Ritz is committed to creating a memorable guest experience for your next corporate event, private concert, wedding, reception or business meeting. The bright lights of The Ritz sign welcome guests, while branding opportunities such as a red carpet, showgirl greeters, uplighting and video mapping can kick off your event in style. Located approximately 4 miles from the Raleigh Convention Center, The Ritz can accommodate 25 to 1,400 guests. Our talented staff handles every detail, so you don’t have to! Learn more and start planning today: https://specialevents.livenation.com/the-ritz"
8,The Royal James,919-637-0056,108 E. Hargett Street,Raleigh,NC,27601,"Located in the heart of downtown Raleigh, Royal James provides a spacious and elegant venue with large outdoor (heated) patio and state-of-the-art sound system."
9,Historic Venues,(919) 832-6866,,Raleigh,NC,27601,"Located atop the Historic Capital Club Building, The Grand Ballroom is a restored 1930-era ballroom that offers panoramic views of downtown Raleigh and the architectural elegance of a bygone era."
10,Spy Raleigh,(919) 637-0056,330 W. Davie Street,Raleigh,NC,27601,"Spy Raleigh is an upscale event venue in downtown Raleigh, NC specializing in event management for corporate events, wedding receptions, private parties, charity events and nightlife events. Our venue is best described as warm, classy and cutting-edge. Allow yourself to be pampered by our experienced staff, who are ready to provide you with uncompromising luxury and service. Spy is the result of a collaboration of talented partners that have over 50 years of experience creating elegant and tasteful events."
11,Wilmoore Cafe,(919) 424-7422,223 Wilmington Street,Raleigh,NC,27601,"The Wilmoore Cafe is located in a charming historic building in thriving Downtown Raleigh at 223 S. Wilmington Street, right beside the Busy Bee. The cafe offers a wide range of high quality coffee and tea selections and a tempting menu of homemade soups, locally-sourced salads, mouth-watering sandwiches, and house-baked muffins and biscotti. The Wilmoore Cafe aims to support the Raleigh arts scene by showcasing local artists whenever possible, and to become and a local favorite for business professionals, downtown regulars and visitors alike."
12,The Rockford,919-821-9020,320 1/2 Glenwood Ave,Raleigh,NC,27603,"The Rockford is Glenwood South's longest running restaurant located at 320 1/2 Glenwood Avenue in a historic upstairs hideaway. The Rockford is a quirky, chef-driven sandwich shop by day and event/banquet space by night. Custom menus available for groups of 15 to 100 guests. If you're looking for a unique setting with a historic feel, The Rockford will be perfect for your next event."
13,Element Beauty Bar,9199778634,444 S Blount Street,Raleigh,NC,27601,"Destined to appeal to an upscale business and leisure clientele alike, Element Beauty Bar is a non-traditional beauty salon that is located in the heart of Raleigh's budding cosmopolitan metropolis. With two PhD chemists at its helm, Element Beauty Bar (EBB) offers customized product solutions via a proprietary Blend Bar developed by their hair care company, Tea and Honey blends LLC. EBB offers an all-round beauty exposure that very few would have experienced in a lifetime."
14,Jim's Formal Wear and VRB,919-833-1898,443 B Daniels Street,Raleigh,NC,27605,We offer tuxes and Bridal wear for All events! Order now! Designer gowns and Bridal party one stop shop! Visit our website at VictoriaRoseBridals.com! You can also like us on Facebook or Twitter. Marissa trunk show is this weekend! Call us for more information.
15,Eschelon Experiences,919-424-7759,3900 Merton Drive,Raleigh,NC,27609,"If you’re looking for a place to host an event in Raleigh, NC, turn to the party planning experts at Eschelon Experiences."
16,Royal India Restaurant,919-981-0849,3901 Capital Blvd,Raleigh,NC,27604,"When Royal India opened its door in Raleigh in 1990, we were one of the few Indian restaurants in the Triangle area of North Carolina. Since then, Raleigh has seen tremendous growth and many international restaurants have opened in town. We are proud to serve our loyal and new patrons in Raleigh, Cary, Morrisville, Apex, Durham, Chapel Hill and beyond!"
17,Seasons 52,919-787-3052,4325 Glenwood Avenue,Raleigh,NC,27612,"Seasons 52 is a fresh grill and wine bar featuring a seasonal menu and an award-winning wine list. We believe in seasonal cooking, inspired by the fresh appeal of a farmer's market where local growers, ranchers, fishmongers and artisans present their very best. Locally farmed, seasonal produce picked at the peak of ripeness, quality seafood, all-natural meats and artisanal food creations inspire us to bring you dishes that celebrate ingredients as hero."
18,Premier Cakes,919-703-0095,6617-105 Falls of Neuse Rd,Raleigh,NC,27615,"Premier Cakes is a full fledged bakery, specializing in homemade from scratch desserts: cakes, pies, cookies, cupcakes, pastries, etc. We specialize in American old fashioned nine inch, 3 layer cakes; although our repertoire includes Latin, French, Italian, Spanish and Jamaican desserts. Twenty or more desserts are offered each day in our bakery which features Raleigh's first with an open kitchen. Patron marvel at being able watch the entire production process and the smells are free! Seating is provided for approximately 20. Freshly brewed coffee and tea is available while watching TV or using our WiFi services. The bakery is open daily 10 AM - 9 PM, Sunday 12 - 6 PM."
19,A Step To Gold International Ballroom,(919) 781-6868,6278 Glenwood Avenue,Raleigh,NC,27612,"ASTG is Available For Private Rental for Parties, Wedding Receptions, Family Reunions, Class Reunions, Business Meetings and other events."
