Name,Constraint Type,Status
Old Town,Conservation Areas,Not Applicable
Name: Haydon Wick,Swindon Ward Names,Not Applicable
Parish: Haydon Wick,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
"MOD BASE: RAF Fairford ZONE: B ZONE FUNCTION: Waste Management, Conservation, Recreational Flying, Reservoirs",MOD B Zone Name,Not Applicable
Badbury,Conservation Areas,Not Applicable
Name: Gorse Hill & Pinehurst,Swindon Ward Names,Not Applicable
Parish: Central Swindon North,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
"MOD BASE: RAF Fairford ZONE: B ZONE FUNCTION: Waste Management, Conservation, Recreational Flying, Reservoirs",MOD B Zone Name,Not Applicable
Name: Shaw,Swindon Ward Names,Not Applicable
Parish: West Swindon,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
Name: Chiseldon And Lawn,Swindon Ward Names,Not Applicable
Parish: Central Swindon South,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
Name: Gorse Hill & Pinehurst,Swindon Ward Names,Not Applicable
Parish: Stratton St Margaret,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
"MOD BASE: RAF Fairford ZONE: B ZONE FUNCTION: Waste Management, Conservation, Recreational Flying, Reservoirs",MOD B Zone Name,Not Applicable
Name: Shaw,Swindon Ward Names,Not Applicable
Parish: West Swindon,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
"MOD BASE: RAF Fairford ZONE: B ZONE FUNCTION: Waste Management, Conservation, Recreational Flying, Reservoirs",MOD B Zone Name,Not Applicable
Name: Old Town,Swindon Ward Names,Not Applicable
Parish: Central Swindon South,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
Name: Central,Swindon Ward Names,Not Applicable
Parish: Central Swindon South,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
Name: St Margaret And South Marston,Swindon Ward Names,Not Applicable
Parish: Stratton St Margaret,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
"MOD BASE: RAF Fairford ZONE: B ZONE FUNCTION: Waste Management, Conservation, Recreational Flying, Reservoirs",MOD B Zone Name,Not Applicable
Name: Haydon Wick,Swindon Ward Names,Not Applicable
Parish: Haydon Wick,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
"MOD BASE: RAF Fairford ZONE: B ZONE FUNCTION: Waste Management, Conservation, Recreational Flying, Reservoirs",MOD B Zone Name,Not Applicable
Name: Gorse Hill & Pinehurst,Swindon Ward Names,Not Applicable
Parish: Central Swindon North,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
"MOD BASE: RAF Fairford ZONE: B ZONE FUNCTION: Waste Management, Conservation, Recreational Flying, Reservoirs",MOD B Zone Name,Not Applicable
Name: Shaw,Swindon Ward Names,Not Applicable
Parish: West Swindon,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
"MOD BASE: RAF Lyneham ZONE: B ZONE FUNCTION: Waste Management, Conservation, Recreational Flying, Reservoirs",MOD B Zone Name,Not Applicable
Name: Chiseldon And Lawn,Swindon Ward Names,Not Applicable
Parish: Central Swindon South,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
Name: Covingham And Dorcan,Swindon Ward Names,Not Applicable
Parish: Nythe Eldene Liden,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
Name: Eastcott,Swindon Ward Names,Not Applicable
Parish: Central Swindon South,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
Name: Eastcott,Swindon Ward Names,Not Applicable
Parish: Central Swindon South,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
Name: St Andrews,Swindon Ward Names,Not Applicable
Parish: St Andrews,SWINDON PARISH NAMES,Not Applicable
"AREA NAME: Swindon Northern Development Area AREA HECTARAGE: 564.6 DESIGNATION: Designated Development Area to 2011 for 10000 houses DEVELOPMENT TYPE: Mixed Residential, Employment, Retail and Recreation/Amenity",Swindon NDA Area Hectarage,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
"MOD BASE: RAF Fairford ZONE: B ZONE FUNCTION: Waste Management, Conservation, Recreational Flying, Reservoirs",MOD B Zone Name,Not Applicable
Name: Ridgeway,Swindon Ward Names,Not Applicable
Parish: Wanborough,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
Name: Lydiard And Freshbrook,Swindon Ward Names,Not Applicable
Parish: West Swindon,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
"MOD BASE: RAF Lyneham ZONE: B ZONE FUNCTION: Waste Management, Conservation, Recreational Flying, Reservoirs",MOD B Zone Name,Not Applicable
Name: Priory Vale,Swindon Ward Names,Not Applicable
Parish: Haydon Wick,SWINDON PARISH NAMES,Not Applicable
"AREA NAME: Swindon Northern Development Area AREA HECTARAGE: 564.6 DESIGNATION: Designated Development Area to 2011 for 10000 houses DEVELOPMENT TYPE: Mixed Residential, Employment, Retail and Recreation/Amenity",Swindon NDA Area Hectarage,Not Applicable
RIVER STREAM NAME: Haydon Wick Brook DRAINAGE CATCHMENT: River Thames GEOLOGY_BEDROCK: West Walton and Oxford Clay GEOLOGY_DRIFT: Alluvium at lower end of stream FLOOD ZONE: Zone 3 FLOOD RISK: Greater Than 1% Annually FLOOD RISK AREA HA: 24.1,River Name Zone 3,Not Applicable
River Stream Name: Haydon Wick Brook Drainage Catchment: River Thames Geology Bedrock: West Walton and Oxford Clay Geology Drift: Alluvium at lower end of stream Flood Risk Area: 29.36 Flood Zone Category: Zone 2 Annual Flood Risk Level: 0.1% - 1% Annually,Drainage Catchment,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
"MOD BASE: RAF Fairford ZONE: B ZONE FUNCTION: Waste Management, Conservation, Recreational Flying, Reservoirs",MOD B Zone Name,Not Applicable
Name: Penhill And Upper Stratton,Swindon Ward Names,Not Applicable
Parish: Central Swindon North,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
"MOD BASE: RAF Fairford ZONE: B ZONE FUNCTION: Waste Management, Conservation, Recreational Flying, Reservoirs",MOD B Zone Name,Not Applicable
Name: Lydiard And Freshbrook,Swindon Ward Names,Not Applicable
Parish: West Swindon,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
"MOD BASE: RAF Lyneham ZONE: B ZONE FUNCTION: Waste Management, Conservation, Recreational Flying, Reservoirs",MOD B Zone Name,Not Applicable
Name: Covingham And Dorcan,Swindon Ward Names,Not Applicable
Parish: Nythe Eldene Liden,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
Name: Chiseldon And Lawn,Swindon Ward Names,Not Applicable
Parish: Chiseldon,SWINDON PARISH NAMES,Not Applicable
"AONB NAME: North Wessex Downs AREA SUMMARY: Mixed Rural Landscape : 3rd largest AONB in UK, the largest in SE England GEOGRAPHIC AREA: Marlborough & Pewsey Downs, Pewsey Vale & The Kennet Valley, Chute Forest, Savernake Forest, Thames Basin Heaths LANDSCAPE TYPES: A Mosaic of Chalk Downland, Ancient Woodland, Pasture, Heath, Common Land, Chalk Scarp, Arable Land and Chalk River Valleys",AONB Name,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
Name: Mannington And Western,Swindon Ward Names,Not Applicable
Parish: Central Swindon North,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
Name: St Andrews,Swindon Ward Names,Not Applicable
Parish: St Andrews,SWINDON PARISH NAMES,Not Applicable
"AREA NAME: Swindon Northern Development Area AREA HECTARAGE: 564.6 DESIGNATION: Designated Development Area to 2011 for 10000 houses DEVELOPMENT TYPE: Mixed Residential, Employment, Retail and Recreation/Amenity",Swindon NDA Area Hectarage,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
"MOD BASE: RAF Fairford ZONE: B ZONE FUNCTION: Waste Management, Conservation, Recreational Flying, Reservoirs",MOD B Zone Name,Not Applicable
Name: Blunsdon And Highworth,Swindon Ward Names,Not Applicable
Parish: Highworth,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
"MOD BASE: RAF Brize Norton ZONE: B ZONE FUNCTION: Waste Management, Conservation, Recreational Flying, Reservoirs",MOD B Zone Name,Not Applicable
"MOD BASE: RAF Fairford ZONE: B ZONE FUNCTION: Waste Management, Conservation, Recreational Flying, Reservoirs",MOD B Zone Name,Not Applicable
Name: Lydiard And Freshbrook,Swindon Ward Names,Not Applicable
Parish: West Swindon,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
"MOD BASE: RAF Lyneham ZONE: B ZONE FUNCTION: Waste Management, Conservation, Recreational Flying, Reservoirs",MOD B Zone Name,Not Applicable
Name: St Margaret And South Marston,Swindon Ward Names,Not Applicable
Parish: Stratton St Margaret,SWINDON PARISH NAMES,Not Applicable
FLOOD ZONE TYPE: Zone 1 FLOOD RISK LEVEL: Nil to 0.1% Annually SBC AREA SQ KM: 205.58,Flood Zone Type,Not Applicable
"MOD BASE: RAF Fairford ZONE: B ZONE FUNCTION: Waste Management, Conservation, Recreational Flying, Reservoirs",MOD B Zone Name,Not Applicable
Name: Chiseldon And Lawn,Swindon Ward Names,Not Applicable
Parish: Chiseldon,SWINDON PARISH NAMES,Not Applicable
"AONB NAME: North Wessex Downs AREA SUMMARY: Mixed Rural Landscape : 3rd largest AONB in UK, the largest in SE England GEOGRAPHIC AREA: Marlborough & Pewsey Downs, Pewsey Vale & The Kennet Valley, Chute Forest, Savernake Forest, Thames Basin Heaths LANDSCAPE TYPES: A Mosaic of Chalk Downland, Ancient Woodland, Pasture, Heath, Common Land, Chalk Scarp, Arable Land and Chalk River Valleys",AONB Name,Not Applicable
