Reference,Alternative Reference,Application Received,Application Validated,Address,Proposal,Status,Decision,Decision Issued Date,Appeal Status,Appeal Decision
S/PAOTH/22/0050,Not Applicable,Wed 05 Jan 2022,Wed 05 Jan 2022,93-95 Commercial Road Swindon SN1 5PH,Prior approval application for the erection of a further three storeys to provide an additional 9no. flats.,Application Withdrawn,Application Withdrawn,Thu 20 Jan 2022,Unknown,Not Applicable
S/AMEND/21/1978,PP-10471788,Mon 20 Dec 2021,Tue 21 Dec 2021,Land At Brindley Close Cheney Manor Industrial Estate Swindon,"Non-material amendment to previous application S/19/0644 regarding alteration to the position of battery storage containers, transformers, inverters and containers, and alteration to the design of battery storage containers, transformers and inverters.",Minor Amendment Approved,Minor Amendment Approved,Thu 20 Jan 2022,Unknown,Not Applicable
S/AMEND/21/1977,PP-10471840,Mon 20 Dec 2021,Tue 21 Dec 2021,Land At Brindley Close Cheney Manor Industrial Estate Swindon,"Non-material amendment to previous permission S/20/0850 regarding alteration to the position of containers, transformers and inverters, and alteration to the design of battery storage containers, transformers and inverters.",Minor Amendment Approved,Minor Amendment Approved,Thu 20 Jan 2022,Unknown,Not Applicable
S/AMEND/21/1964,PP-10487014,Fri 17 Dec 2021,Fri 17 Dec 2021,Land Adjacent To 98 Redcliffe Street Swindon SN2 2BZ,"Non-material amendment to previous permission S/18/1072 regarding raising the eave height, minor changes to front elevation, use of prefabricated dormer window and 'dummy' chimney within roof, internal layout modified and bike and bin store relocated.",Minor Amendment Approved,Minor Amendment Approved,Mon 17 Jan 2022,Unknown,Not Applicable
S/AMEND/21/1942,Not Applicable,Tue 14 Dec 2021,Wed 15 Dec 2021,Land At Holdcroft Broad Bush Blunsdon Swindon,Non-material amendment to previous permission S/17/0528 regarding the removal of GRP projecting window surrounds on certain plots.,Application Granted,Granted Permission,Thu 20 Jan 2022,Unknown,Not Applicable
S/HOU/21/1928,PP-10473179,Mon 13 Dec 2021,Mon 13 Dec 2021,Wrens Nest 1 Badbury Lane Badbury Swindon SN4 0EU,"Erection of garage to side, conversion of existing garage to habitable space and erection of new roof to existing porch.",Application Granted,Granted Permission,Fri 28 Jan 2022,Unknown,Not Applicable
S/TPO/21/1924,PP-10470550,Sat 11 Dec 2021,Mon 13 Dec 2021,Saxon Court Dammas Lane Old Town Swindon,Works to Horse Chestnut within BOS TPO (No.1) 1967 - Retrospective.,Application Granted,Granted Permission,Mon 17 Jan 2022,Unknown,Not Applicable
S/HOU/21/1921,Not Applicable,Fri 10 Dec 2021,Fri 10 Dec 2021,6 Spur Way Stratton St Margaret Swindon SN2 7JU,Erection of two storey side and single storey rear extensions.,Application Granted,Granted Permission,Mon 24 Jan 2022,Unknown,Not Applicable
S/HOU/21/1897,PP-10458542,Tue 07 Dec 2021,Tue 07 Dec 2021,32 Leverton Gate Broome Manor Swindon SN3 1ND,Erection of single storey side and two storey rear extensions - amendment to previous permission S/HOU/21/1545.,Application Granted,Granted Permission,Tue 25 Jan 2022,Unknown,Not Applicable
S/LDP/21/1898,PP-10460421,Tue 07 Dec 2021,Tue 07 Dec 2021,1 Lydford Close Nine Elms Swindon SN5 5UF,Certificate of lawfulness (Proposed) for the erection of a single storey rear extension.,Application Granted,Granted Permission,Fri 28 Jan 2022,Unknown,Not Applicable
S/AMEND/21/1889,PP-10451794,Mon 06 Dec 2021,Mon 06 Dec 2021,The Great Western Hospital Marlborough Road Swindon SN3 6BB,"Non-material amendment to previous permission S/21/1244 - Alterations to the layout of the compound, including to the boundary fencing, retaining structures, parking and access and drainage strategy",Minor Amendment Approved,Minor Amendment Approved,Fri 14 Jan 2022,Unknown,Not Applicable
S/HOU/21/1894,Not Applicable,Mon 06 Dec 2021,Tue 14 Dec 2021,16 Bessemer Close Rodbourne Cheney Swindon SN2 1NB,Construction of an extended dropped kerb and 3no. off road parking spaces.,Application Granted,Granted Permission,Wed 12 Jan 2022,Unknown,Not Applicable
S/HOU/21/1887,PP-10447050,Sat 04 Dec 2021,Mon 06 Dec 2021,3 Foxglove Road Haydon Wick Swindon SN25 1SG,Erection of a two storey side/rear extension and single storey rear extension.,Application Granted,Granted Permission,Thu 27 Jan 2022,Unknown,Not Applicable
S/PHOU/21/1885,PP-10373577,Thu 02 Dec 2021,Thu 02 Dec 2021,40 The Knoll Croft Road Swindon SN1 4DQ,"Prior Approval Notification for the erection of a single storey rear extension measuring 6.0m (from original rear wall), 3.0m (maximum height) and 2.85m (height to eaves).",Unknown,Prior Approval not required,Thu 13 Jan 2022,Unknown,Not Applicable
S/PHOU/21/1875,PP-10437160,Wed 01 Dec 2021,Fri 03 Dec 2021,23 Beaufort Road Wroughton Swindon SN4 9HF,"Prior Approval Notification for the erection of a single storey rear extension measuring 3.25m (from original rear wall), 3.95m (maximum height) and 2.28m (height to eaves).",Unknown,Prior Approval not required,Wed 12 Jan 2022,Unknown,Not Applicable
S/TPO/21/1874,PP-10440109,Wed 01 Dec 2021,Wed 01 Dec 2021,Land Adjacent To Footpath From Piernik Close To Mazurek Way Swindon,Works to oak tree within BOS TPO (No.1) 1987.,Application Granted,Granted Permission,Mon 17 Jan 2022,Unknown,Not Applicable
S/HOU/21/1876,PP-10441059,Wed 01 Dec 2021,Wed 01 Dec 2021,579 Cricklade Road Swindon SN2 5AA,Erection of a single storey conservatory to rear.,Application Granted,Granted Permission,Mon 24 Jan 2022,Unknown,Not Applicable
S/HOU/21/1872,Not Applicable,Tue 30 Nov 2021,Thu 02 Dec 2021,9 Wincombe Road Badbury Park Swindon SN3 6EJ,Erection of a single storey rear extension and conversion of garage into habitable space.,Application Granted,Granted Permission,Mon 17 Jan 2022,Unknown,Not Applicable
S/TWC/21/1877,Not Applicable,Mon 29 Nov 2021,Mon 29 Nov 2021,Lane To Badbury Bottom Badbury Swindon,Works to trees in a conservation area.,Application Granted,Granted Permission,Mon 17 Jan 2022,Unknown,Not Applicable
