,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,faeriebxtch,,,1160,67,31218,670,My images for @adidas 😭 #adidas https://t.co/5PCkag1tOp,['adidas']
1,ipswichshirts,"Chris - Spending wages on mostly blue threads since 2014. An #ITFC fan sharing my collection, thanks for dropping by! Views are my own. Instagram:@ipswichshirts",,120,696,1479,0,"#deliveryday courtesy of @JackTrorey 🙌🏻🙏🏻 
Thanks also to my postie who delivered it through the kitchen window and into the full washing up bowl 💦💧🤬🤦🏻‍♂️
#itfc #adidas #HumpDay #humpdayvibes #wednesdaythought #ipswich #ipswichtown #efl #championship #leagueone https://t.co/x21fqu23JK","['deliveryday', 'itfc', 'adidas', 'HumpDay', 'humpdayvibes', 'wednesdaythought', 'ipswich', 'ipswichtown', 'efl', 'championship', 'leagueone']"
2,Afandee_Online,We provide an exclusive opportunity to shop in more than 15 category.,,98,81,1638,0,"Hey! We've got original new Adidas sportswear and equipment 😍
Shop now &amp; SAVE on: https://t.co/HGFmhFj6Rl

#ShopAfandee #onlineshopping #Lebanon #sportswear #adidas https://t.co/D6lXpb7iGP","['ShopAfandee', 'onlineshopping', 'Lebanon', 'sportswear', 'adidas']"
3,sillybilIy,in a super silly band with @silliestpinkies & @sillybpd !!!! 🤩 read rentry byf/rq https://t.co/waIojmrIW2,they/he| white | tme,374,202,32705,670,My images for @adidas 😭 #adidas https://t.co/5PCkag1tOp,['adidas']
4,CoachRod_Trezz,Coach Rod: Greenfield School: Head JV Coach / Ast. Varsity Coach. / Head Coach of Team Trezz-Edwards 2024 USA Gold License,"North Carolina, USA",1231,870,8066,0,Catch 2026 KobeEdwards &amp; the his Garner Road(Myatt) teammates in Rock Hill @JrExposure this week/weekend starting tomorrow(Thursday) Adding the other pieces to the puzzle. #GarnerRoad #Adidas #NorthCarolina https://t.co/5macj5Dtht,"['GarnerRoad', 'Adidas', 'NorthCarolina']"
5,Sealsillies,L + Ratio + didn’t ask + don’t care + you awoke one morning from uneasy dreams to find yourself transformed in your bed into a monstrous vermin,(Any prns + star/stars)☆,2331,803,29341,670,My images for @adidas 😭 #adidas https://t.co/5PCkag1tOp,['adidas']
6,RAHHjinBuu,she/her. mother of gamers. dovahkiin. oni of the ash. fat. ratchet martha stewart. god-tier aeon. let me talk you through it. $knuckmethembucks 🌩⚡️,My mfn bag,1163,2764,420287,670,My images for @adidas 😭 #adidas https://t.co/5PCkag1tOp,['adidas']
7,jayathesensei,Content Creator for @ONiGLOBAL & @Ubisoft | @SistaShootas Overwatch Coach | She/Her | Business inquiries: jayathesensei@gmail.com ✨,Hyrule,1018,2855,154519,670,My images for @adidas 😭 #adidas https://t.co/5PCkag1tOp,['adidas']
8,OGBOBEATSTV,"Music Lover, Sneaker collector Size11, novice investor that sometimes make sense of the world. Follow me @OGBoBeats on instagram from the #262 #414 area code."," Columbia, SC",812,323,7016,0,"#kotd #adidas #yeezy #foamrunner #onyx 

A must have for airport travel.  

#tsapre #priority boarding #ohare to #vegas

 #sneaker #SNKRS #sneakercon https://t.co/r88aSFJCCC","['kotd', 'adidas', 'yeezy', 'foamrunner', 'onyx', 'tsapre', 'priority', 'ohare', 'vegas', 'sneaker', 'SNKRS', 'sneakercon']"
9,SadFlowerPrince,Samson • 27 💞 @cursedfleuraims,he/him,73,111,33254,670,My images for @adidas 😭 #adidas https://t.co/5PCkag1tOp,['adidas']
