,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,xxpngdrgn,gahongie loves p’jiyong🐉ྀི n’mashi🍀ྀི n’jaem🐸ྀི mes bébés | #รีวิวกาโฮ,bigbang | treasure | nct dream,498,59,58902,34,but the shoes look like paranoise? but with black base #GDRAGON #NIKE https://t.co/WqFVEWEAAR,"['GDRAGON', 'NIKE']"
1,Blackgirlie8,Hot like a heater,,97,109,168,0,"*HIGH QUALITY NIKE SB DUNK PARRA SNEAKER NOW AVAILABLE IN STORE*   *    Size: 40-45*  *     AWOOF PRICE: N24,500‼️* #sneakers #Nike #onlineshopping https://t.co/z0gCx0LZGz","['sneakers', 'Nike', 'onlineshopping']"
2,queenbee_xxii,,,267,330,437100,119,"#GDRAGON as 'The Creator' and 'King of Kpop' by Nike ✔️👑.
#peaceminusone #kwondo1 #nike https://t.co/mF6SKnfqcN","['GDRAGON', 'peaceminusone', 'kwondo1', 'nike']"
3,ELLEphonine,"French, Gay, Stagey AF, Digital Marketeer. #Musicals #Theatre and #WestEnd aficionado. Honorary Witch of Eastwick. Here for the bantz #LGBT She/Her",Weismann Follies ,762,1548,101230,9,"“Some people want it to happen, some wish it would happen, and others make it happen.”

- MJ

@korf_morgan 

#motivationalquotes #baller #nike #girlshoop #moves #finishes #trusttheprocess #playtoinspire https://t.co/j0Hy9PM4wk",[]
4,17u_red,"BATESFUNDAMENTALS 17U RED OFFICIAL PAGE: Head Coach Tony Kynard / Asst Program Director 419-466-0329
antonio.kynard@yahoo.com","Ypsilanti, MI",2040,740,590,5,A few more clips from this weekend. 🏀 🔥 #nike #ballers #3ball  @BatesFunAcdEYBL https://t.co/v5JkDC3NqU,"['nike', 'ballers', '3ball']"
5,17u_red,"BATESFUNDAMENTALS 17U RED OFFICIAL PAGE: Head Coach Tony Kynard / Asst Program Director 419-466-0329
antonio.kynard@yahoo.com","Ypsilanti, MI",2040,740,590,9,Class of 2026 6’1 PG Jacob Pleyer and I are looking forward to the Made Hoops 8th Grade Finale in Augusta July 20-24. #nike ⁦@PleyerJacob⁩ ⁦@BatesFunAcdEYBL⁩ ⁦@madehoops⁩  ⁦@TopPreps⁩ ⁦@HankampScott⁩ ⁦@alleyesonuhoops⁩ ⁦@jgilbertsport⁩ https://t.co/FOkNEkghEc,['nike']
6,Klown_PrinceTV,"Old school gamer, shoe collector, travel (when there’s no plague) and everything in between.",The FunHouse,77,22,1164,0,Fresh Shipment; St. Pattys SB Dunk. Did the white lace swap that came with them. One of few times white laces really make a shoe pop imo.Material is… whew 😮‍💨 #sneakers #sneakerhead #Nike #SBDunk #snkrsliveheatingup #SNKRS https://t.co/22UdHO9GUm,"['sneakers', 'sneakerhead', 'Nike', 'SBDunk', 'snkrsliveheatingup', 'SNKRS']"
7,snkrdunk_int,"Japan's No. 1 sneaker app 👟
Now ships worldwide 🌎
All authentic, always 🏆
Tag us at #SNKRDUNK to be featured 📸",United States,1,40,425,0,"❕RELEASE 2022❕

Can you spot all the little details layered on top of this #Nike Air Force 1? Hint: Take a closer look at the Swoosh, tongue &amp; heel! 👀

Full details @ the link in bio!
⁠
#SNKRDUNKInt to be featured 📸⁠
⁠
#snkrdunkint #af1 #airforce1 https://t.co/eWKX8r2mW9","['Nike', 'SNKRDUNKInt', 'snkrdunkint', 'af1', 'airforce1']"
8,xxpngdrgn,gahongie loves p’jiyong🐉ྀི n’mashi🍀ྀི n’jaem🐸ྀི mes bébés | #รีวิวกาโฮ,bigbang | treasure | nct dream,498,59,58902,11,"𝒯𝒽𝒶𝓃𝓀𝓈 🐲🅿️♏️🅾️

#KIIIONDO
#KWONDO1
#PEACEMINUSONE
#NIKE https://t.co/tw3RCOr6oz","['KIIIONDO', 'KWONDO1', 'PEACEMINUSONE', 'NIKE']"
9,Babyluv54646750,fun fact: it turns out that there're still many people who only see the headline without reading or watch the contents 👁👄👁,,50,69,6344,3,"#GDRAGON shoes, 2019 to 2022. #Nike #peaceminusone @Nike 😍😍 beautiful collection. 
(by kaochui926) https://t.co/No6SFJz90c","['GDRAGON', 'Nike', 'peaceminusone']"
10,UKShoeRelease1,UK SNKRS | Nike App | Early Access | Shock Drops ++,,10,1,19,0,"New Release!! | VIA Nike App | Cop or Drop
Stay tuned for Resell Predictions
#Nike #Jordan #SNKRS https://t.co/vjQlQMR9eZ","['Nike', 'Jordan', 'SNKRS']"
11,trendykoncept,Amazon T-Shirts For Life: Designed with you in mind.,CA,645,85,4809,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @hon3ybuds #poshmark #fashion #style #shopmycloset #ariat #nike #coach: https://t.co/TX4fVCtPZ9 https://t.co/LNxe8yLHzb,"['poshmark', 'fashion', 'style', 'shopmycloset', 'ariat', 'nike', 'coach']"
12,FruityCharmsco,Hi! I am a single mom and a teacher and I make handmade earrings. :),"Texas, USA",70,21,917,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #nike #catjack #champion: https://t.co/gQVOP6Zrmp https://t.co/d2C6joJKv9,"['poshmark', 'fashion', 'style', 'shopmycloset', 'nike', 'catjack', 'champion']"
13,good2Bthrifty,,,1175,556,11030,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #goodstuff #nike: https://t.co/AmelrGCtuX https://t.co/JfAGeuD3mj,"['poshmark', 'fashion', 'style', 'shopmycloset', 'goodstuff', 'nike']"
14,soon2bcourtney,,,37,27,2501,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @elisa_sumrall #poshmark #fashion #style #shopmycloset #ciate #nike #pinkvictoriassecret: https://t.co/adQlZD9Von https://t.co/AGqnvQQhc6,"['poshmark', 'fashion', 'style', 'shopmycloset', 'ciate', 'nike', 'pinkvictoriassecret']"
15,cowgirlabroad,"Hi I'm BethAnn! Thanks for stopping by! While you're out here, why not check out my Poshmark closet?","Texas, USA",23,6,418,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @HangerHoney #poshmark #fashion #style #shopmycloset #nike #converse #disney: https://t.co/sjpDWR4SUd https://t.co/Wivn0zrGQg,"['poshmark', 'fashion', 'style', 'shopmycloset', 'nike', 'converse', 'disney']"
