,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,Jackiec716,Proud supporter of all men and women in law enforcement. Thank you for all that you do! VOTE RED,Florida,805,342,1703,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #louisvuitton #mykinime #underarmour: https://t.co/NOG9ZNBB9C https://t.co/SJRoR9IVM3,"['poshmark', 'fashion', 'style', 'shopmycloset', 'louisvuitton', 'mykinime', 'underarmour']"
1,Valbregas,CEO Unibe Group LLC & Raretimz LLC,united states,319,52,8873,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @luxurybbargains @apinkdiva #poshmark #fashion #style #shopmycloset #albertomakali #underarmour #michaelkors: https://t.co/17yCVGX379 https://t.co/r4xwmOca4Z,"['poshmark', 'fashion', 'style', 'shopmycloset', 'albertomakali', 'underarmour', 'michaelkors']"
2,SachaMarieH,,,19,5,751,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #underarmour #oldnavy: https://t.co/m795q3ueGI https://t.co/aX1Wg5C1u2,"['poshmark', 'fashion', 'style', 'shopmycloset', 'underarmour', 'oldnavy']"
3,adrieoc,,,106,31,233,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #whitemountain #underarmour #altardstate: https://t.co/EDCsBCoudJ https://t.co/yT5oVn52Yd,"['poshmark', 'fashion', 'style', 'shopmycloset', 'whitemountain', 'underarmour', 'altardstate']"
4,julebeans26,29 | Poshmark Seller 🌺 | Cosplayer | Traveler | Loving life,"Otisville, NY",165,64,7286,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #jessicasimpson #underarmour: https://t.co/YNC09zzXC2 https://t.co/UGJZO32sMf,"['poshmark', 'fashion', 'style', 'shopmycloset', 'jessicasimpson', 'underarmour']"
5,meganxcox,✨This account is for my Poshmark!✨ I'm a Posh Ambassador. Recently lost weight so lots of plus size options that haven't been worn! Check the link below.👇🏼,"Wilmington, NC",427,612,1677,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @barn_burn #poshmark #fashion #style #shopmycloset #crocs #underarmour #charlotterusse: https://t.co/fwjRqzEDNr https://t.co/Nmgohisi9S,"['poshmark', 'fashion', 'style', 'shopmycloset', 'crocs', 'underarmour', 'charlotterusse']"
6,GraceNarnola,,,122,53,675,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @Deanfor3 #poshmark #fashion #style #shopmycloset #zaful #underarmour #luminaire: https://t.co/6eoyXrfNIm https://t.co/kzIboX7AuM,"['poshmark', 'fashion', 'style', 'shopmycloset', 'zaful', 'underarmour', 'luminaire']"
7,shannyg25,,"Royse City, TX",1630,156,9356,1,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @sabrihal @atkinsgilbert #poshmark #fashion #style #shopmycloset #victoriassecret #underarmour #buffalodavidbitton: https://t.co/L1P0cOSffI https://t.co/FE221oOwzr,"['poshmark', 'fashion']"
8,_JanetNava,,"Chicago, IL",220,43,2893,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #carhartt #levis #underarmour: https://t.co/3zSZmBNdT5 https://t.co/VcOEHCGrg3,"['poshmark', 'fashion', 'style', 'shopmycloset', 'carhartt', 'levis', 'underarmour']"
9,MGSnyder12172,"Attorney, Ravens and O’s fan. “In Lamar, We Trust #8”","Baltimore, MD",1312,140,5706,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #underarmour #everlane: https://t.co/qtGQtf8HcR https://t.co/8BwLnbpOTz,"['poshmark', 'fashion', 'style', 'shopmycloset', 'underarmour', 'everlane']"
10,MohauSam,"The Habits Guy 🚧 | Author 📚 

I Will Help 1 Million People Beat Their Sugar Addiction & Build Healthy Habits!


#FetchYourBody
#90DaysWithoutSugar","Pretoria, South Africa",3265,54497,404362,1,"Running these Hills 
🏃🏾‍♂️ ✅ #justrunningac #RunningWithTumiSole #FetchYourBody2022 #RunningIsAddictive #UnderArmour #UAAllOutMile https://t.co/zAx7UhrFQC","['justrunningac', 'RunningWithTumiSole', 'FetchYourBody2022', 'RunningIsAddictive', 'UnderArmour']"
11,cgarber88,,,3,9,1438,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @Viri__Navarro #poshmark #fashion #style #shopmycloset #underarmour #nike #ashleyby26international: https://t.co/LNcM4X5FYQ https://t.co/80kdsw3hGj,"['poshmark', 'fashion', 'style', 'shopmycloset', 'underarmour', 'nike', 'ashleyby26international']"
12,PortiaDuncan20,,,1,11,1526,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @fireupqueen #poshmark #fashion #style #shopmycloset #ninebird #underarmour: https://t.co/32lpiVjzOZ https://t.co/wq3q0fplJq,"['poshmark', 'fashion', 'style', 'shopmycloset', 'ninebird', 'underarmour']"
13,Veronic06398698,Bat and a Man that makes me...BATMAN i gave a free follow so go follow @aagjexx :D,,5,0,8,2,"Who else spent the weekend in Maui, HI for @ESPNHonolulu @espn #hawaii @UANextFootball #Maui #eSports #UnderArmour https://t.co/iY44dely7w","['hawaii', 'Maui', 'eSports', 'UnderArmour']"
14,_NtsikiBaraka_,"You cannot mandate philanthropy. It has to come from within, and when it does, it is deeply satisfying.","South Africa , Centurion",4445,1021,9388,1,"Running these Hills 
🏃🏾‍♂️ ✅ #justrunningac #RunningWithTumiSole #FetchYourBody2022 #RunningIsAddictive #UnderArmour #UAAllOutMile https://t.co/zAx7UhrFQC","['justrunningac', 'RunningWithTumiSole', 'FetchYourBody2022', 'RunningIsAddictive', 'UnderArmour', 'UAAllOutMile']"
15,MeaganS12340080,Wife💍Entrepreneur 📑Teacher📚,Online ,192,14,1667,0,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #underarmour #monrow: https://t.co/c9ZcR03Flz https://t.co/rtce5nUS0I,"['poshmark', 'fashion', 'style', 'shopmycloset', 'underarmour', 'monrow']"
