,Name,Website,Address,Phone Number,Social Page,Social Page,Facilities and Capacity,Price Pdf link
0,Glen Choga Lodge,http://www.glenchogalodge.com,"50 Choga Lodge Road Topton, NC, 28781",407-383-7689,https://www.facebook.com/glenchogalodge,https://www.instagram.com/glen_choga_lodge_bandb/,"The lodge is an 8,000-square-foot space with 12 rooms that will sleep up to 24 adults. The caterer-ready kitchen is for your use during the event. The grounds are spacious and perfect for putting up a tent for the wedding and reception. There is a capacity for up to 60 guests, including the main wedding party. Exceptions can be made upon request.",https://cdn0.weddingwire.com/solic/7/4/7/0/6/0/pricing-50962c6ff49c7600_280832a7-2feb-48f7-b995-91f7f3be958f.pdf
1,Hidden Springs Ranch Venues,http://hsranchvenues.com,"6458 Brantley Gordon Rd Denton, NC, 27239",3364708879, , ,"Initially constructed in 2006, the authentic log cabin is a picturesque ceremony and reception venue residing on the ranch. The Cabin also features a comfortable dressing suite, outfitted in antique furniture, and a second-story balcony ideal for taking a moment to reflect before the wedding begins. Wedding parties can get ready in peace before descending outside for a beautiful ceremony in front of the pond or on the wraparound porch. Rolling hills and thick, mature trees sit on the horizon, adding to the serene exclusivity of this venue. An air-conditioned barn is another event space onsite.", 
2,AC Hotel Asheville Downtown,http://www.marriott.com/avlac,"10 Broadway Street Asheville, NC, 28801",8282582522,https://www.facebook.com/ACHotelsAsheville/,https://instagram.com/ACHotelAsheville,"Location
This unique wedding venue is located in downtown Asheville near Posana, one of the best farm-to-table restaurants in the area. You'll have easy access to many nearby attractions, such as Basilica of Saint Lawrence, Biltmore, Chimney Rock, Mount Pisgah and Old Europe Pastries.",https://cdn0.weddingwire.com/solic/4/4/1/2/4/9/pricing-35be1db895c1b4_ac-wedding-events-menu.pdf
3,Milltown Farm,https://www.facebook.com/MilltownFarmErwin,"183 Moore St Erwin, NC, 28339",910-249-9707, , ,"The onsite team works diligently to help couples and their guests feel right at home. Indoor and outdoor spaces are available to accommodate up to 300 guests at a time. Lush trees surround the manicured lawn areas, giving couples a tranquil backdrop to their ceremony altar. The romantic gazebo, covered pergola, and barnside patio are some of the various places you can say your ""I do""s. You and your guests can then make your way to the barn-style event hall, which offers 4,000 square feet of versatile space to dine and dance the night away. A smaller barn is also available onsite for soon-to-be-weds to prepare for the altar with their entourage. Parking is available onsite to ensure that you and your guests arrive at the venue with ease.", 
4,Seven Sounds Brewing Company,https://www.facebook.com/sevensoundsbrewingcompany/,"112 N Water Street Elizabeth City, NC, 27909",252-679-7507,https://www.facebook.com/sevensoundsbrewingcompany/,https://www.instagram.com/sevensoundsbrewingcompany/,"Upstairs at Seven Sounds Brewing Company is home to a lofty and spacious wedding and events venue with a capacity for 200 guests. This 4,000-square-foot space is ideal for all wedding-related parties, from engagements, showers, and rehearsals to ceremonies and receptions. The ballroom is characterized by industrial accents, including exposed brick walls, aluminum vent piping, and floor-to-ceiling metal-framed windows. These elements are married with rustic features such as wooden flooring and furnishings that lend a touch of refinement to the space. There is space for dancing after dinner and a private wooden bar to add to the entertainment. The rooftop terrace offers panoramic views of the Pasquotank River and forms the perfect backdrop for photo ops following your ceremony. You and your wedding party can pamper and beautify in the roomy get-ready suite.", 
5,Whippoorwill Farm,https://www.whippoorwillfarmct.com/,"363 Philips dairy Road Tryon, NC, 28782",(864) 680-8092, , ,"Surrounded by breathtaking mountains and a two-acre pond, Whippoorwill Farm has a tranquil atmosphere and can be an excellent spot for photoshoots with all your family and friends. The property includes a rustic barn that can accommodate up to 200 beloved guests for your ceremony or reception. The barn is a spacious venue with sky-high ceilings, exposed wooden beams from wall to wall, and ample room to dance and sing to your heart's content. This location also provides a large field for outdoor events with freshly-cut grass and farm animals nearby. In addition to each setting, you and your traveled guests can relax and unwind before your special day with on-site accommodation in their farmhouse. The farmhouse is wheelchair-friendly and equipped with six bedrooms, a kitchen, three bathrooms, and has parking spaces right outside.",https://cdn0.weddingwire.com/solic/2/4/2/3/7/0/pricing-51061c1e93d9e3b7_whippoorwill-farm-pricing.pdf
6,Lake O' the Woods Estate,http://www.lakeothewoodsestate.com/,"1452 Davis Bugg Road Warrenton, NC, 27589",2522571541,https://http//www.facebook.com/pages/Lake-O-The-Woods-Plantation/177326038976030,https://www.instagram.com/Lake-O-The-Woods-Plantation,"The 6,000-square-foot Manor House features tall ceilings and warm pine floors. Couples can entertain their guests in the home’s various common rooms such as the library or The Parlour. The family room features a screened porch which overlooks the pool and terrace. The formal dining room and the large kitchen can accommodate couples and their guests for a rehearsal dinner. With guest rooms, the Manor House can host couples and their wedding party overnight. The Grounds has four cabin accommodations, stables, ten ponds, work sheds, a pool, and a tennis court. This venue can accommodate up to 300 people in its various event spaces. With get-ready-rooms on-site, couples and their wedding party can comfortably prepare for the big day.",https://cdn0.weddingwire.com/solic/6/0/5/8/4/0/pricing-1538508468-5d3158d92b2acd7b-Package_prices_2019_PDF.pdf
7,Statesville Country Club,http://statesvillecc.com,"635 Deauville Rd. Statesville, NC, 28625",7048737240,https://www.facebook.com/statesvilleccweddings,https://twitter.com/StatesvilleCC,"Wedding couples can choose from a variety of beautiful outdoor spaces with views of rolling hills and the lush golf course, or from several elegant indoor event spaces. The Statesville Country Club’s newly-renovated ballroom can accommodate up to 320 wedding guests and features neutral carpets, glamorous chandeliers and elegant furnishings. Other indoor spaces include a Dining Room, Board Room and Front Private Dining Room.",https://cdn0.weddingwire.com/solic/5/6/7/1/8/3/pricing-5025f4566c19a9c1_2020-wedding-guide-final.pdf
8,EGS, ,"Reidsville, NC, 27320",3363122202, , , , 
9,The Chattooga Club,http://chattoogaclub.com/,"1 Pavilion Way Cashiers, NC, 28717",8287433640, , ,"The Club offers a full array of services ranging from five star food and beverage service, luxury suites, spa treatments, croquet, tennis, and swimming. We can arrange other activities in the Cashiers area for your convenience through our concierge.", 
10,Blue Ridge Hospitality Group,https://www.blueridgehospitalitygroup.com/,"Hendersonville Hendersonville, NC, 28792",8287746944, , ,"Blue Ridge Hospitality is happy to welcome couples from all different backgrounds. You can host a number of nuptial events at the restaurant, including receptions, engagements, and dinner rehearsals. If you don't want to travel to their location for your evening meal, this team can come to you either with their food truck or catering van. The Tastebuds food truck can be a fun addition to any celebration as your guests can be handed their food directly. The Banquet Hall catering service is ideal for those who have already decided on an inside wedding venue and would like some extra help. Their Italian and Southern cuisines are sure to make you and your loved ones drool.", 
11,Covington Gardens,http://www.covingtongardens.com,"7119 Racine Road Pleasant Garden, NC, 27313",3362090460,https://www.facebook.com/covingtongardensnc,https://www.pinterest.com/covingtongardens/,Facilities and Capacity,https://cdn0.weddingwire.com/solic/5/4/9/6/8/0/pricing-501627d29b2094dc_2023-cg-wedding-packages.pdf
12,White Sulphur Springs,http://wssvenue.com,"133 White Sulphur Springs Rd Mount Airy, NC, 27030",3367866769,https://www.facebook.com/whitesulphurspringsnc/,https://www.instagram.com/whitesulphurspringsma/,"With a number of indoor and event spaces to choose from, this stunning venue can accommodate weddings of up to 250 people. Couples are invited to walk down the aisle on the beautifully-manicured greenery and celebrate their reception in the stone pavilion. Fully furnished get-ready rooms are also available for couples to prepare for their big day in secluded and stylish comfort.",https://cdn0.weddingwire.com/solic/7/4/3/4/7/8/pricing-5095d83fb0b47d88_wss-brochure.pdf
13,Lake Toxaway Country Club,http://www.laketoxawaycc.com,"4366 West Club Blvd Lake Toxaway, NC, 28747",8289664020,http://www.facebook.com/laketoxawaycc/,https://www.youtube.com/watch?v=g3BW-3b2UB0, ,https://cdn0.weddingwire.com/solic/5/8/8/9/9/5/pricing-502625481143b212_lt-wedding-brochure-2022.pdf
14,Olde Beau Resort & Golf Club,https://www.oldebeauresort.com,"729 Olde Beau Blvd Roaring Gap, NC, 28668",3363633333,https://www.facebook.com/OldebeauGolfclub/,https://www.instagram.com/olde_beau_resortclub/,"From events defined by classic, refined elegance to quintessential low-key Carolina affairs,our event staff and culinary team will help you create a picture-perfect wedding in a majestic mountain setting. Whether you’re planning an afternoon tea bridal shower, a martini night bachelor party, an intimate rehearsal dinner with loved ones or a grand reception for hundreds of friends, our comprehensive wedding service specializes in creating a unique wedding experience perfect for you.", 
15,The Oaks at Salem,http://theoaksatsalem.com,"Apex Apex, NC, 27523",,http://www.facebook.com/196522383701245,https://twitter.com/search?f=tweets&q=theoaksatsalemapex&src=typd,Facilities and Capacity, 
16,"Sixty Acres, A Gathering Place",https://sixtyacresfarm.com/,"2101 Gold Hill Rd East Mount Pleasant, NC, 28124",7042016365, , ,Facilities and Capacity,https://cdn0.weddingwire.com/solic/9/4/2/5/8/0/pricing-510628cf2d82b7a7_pdf-500-off-sixty-acres-a-b-c-packages-2022-5591.pdf
17,Seven Paths Manor,https://sevenpathsmanor.com,"8446 Seven Paths Rd. Spring Hope, NC, 27882",252-458-5646,https://www.facebook.com/WeddingsAtSevenPathsManor/?notif_id=1608739358794403&notif_t=page_fan&ref=notif,https://www.pinterest.com/sevenpathsmanor/_saved/,"We at Seven Paths Manor believe in total transparency...no secrets on our pricing, or what we offer!",https://cdn0.weddingwire.com/solic/1/3/0/4/0/0/pricing-50161ad11a7350b8_pricing-sheet.pdf
18,Cross Creek Country Club,http://www.crosscreekcc.com,"1129 Greenhill Road Mount Airy, NC, 27030",3367895193,https://www.facebook.com/crosscreekcc,https://twitter.com/CrossCreekCC, ,https://cdn0.weddingwire.com/solic/0/9/9/5/9/4/pricing-1490972562-398b715f0c19429a-1451324500-0d30ba80e07ce436-1423064989-c70176d5c279d8a9-2015_CCCC_Ba.pdf
19,Mez Contemporary Mexican Restaurant,http://www.mezdurham.com/private-dining.shtml,"5410 Page Road Durham, NC, 27703",9199411630,https://www.facebook.com/Mez-Contemporary-Mexican-Restaurant-110304085041/,https://www.instagram.com/mez_durham/,Couples and their guests can enjoy a private dining experience of up to 250 people at Mez Contemporary Mexican Restaurant. We are pleased to offer two private dining options:,external-bodas://cdn0.weddingwire.com/solic/7/7/5/7/9/9/pricing-462c846fd9fd31_mez-banquet-packages-june-2022.pdf
20,Alamance Country Club,http://www.alamancecountryclub.com/,"2402 Pineway Dr Burlington, NC, 27215",336-584-0345, , ,"Alamance Country Club offers several spaces that are unique to this venue. A splendid outdoor ceremony site looks out over the 18th hole and the scenic surroundings. Alternatively, the Heritage Room makes a cozy setting for an intimate indoor ceremony with two large fireplaces. The glittering Alamance Ballroom is an ideal location for reception seating, offering a large dance floor for up to 220 guests. The Terrace Room comes with the Ballroom, hosts between 30 and 100 people, and overlooks the 18th hole - a space for a relaxed cocktail hour. This venue offers get-ready rooms to accomodate your needs during your special day. On-site parking and wheelchair-accessible features offer additional convenience for you and attending guests.",https://cdn0.weddingwire.com/solic/1/5/9/7/4/0/pricing-5026014432a5c398_catering-guidelines-2021.pdf
21,White Doe Inn,https://www.whitedoeinn.com/weddings.htm,"319 Sir Walter Raleigh St Manteo, NC, 27954",2524739851,https://www.facebook.com/WhiteDoeInn,https://twitter.com/whitedoeinn,"Able to accommodate small gatherings of up to 30 people, White Doe Inn evokes a sense of intimacy perfect for a romantic occasion. Couples can enjoy their ceremony and reception here, as the venue features a range of versatile event spaces. You and your significant other can tie the knot at one of nearby Nags Head’s sandy beaches. Boasting an unblemished vista of the bay, this setting generates a tranquil vibe befitting of an “I do” moment. Couples can exchange their vows at the inn’s gardens, a scenic space replete with eye-catching ornaments and colorful floral arrangements. Receptions and cocktail-style celebrations can also take place in the gardens, with ample space for wining and dining your loved ones.", 
22,Hanover Park Vineyard,http://hanoverparkwines.com/,"1927 Courtney-Huntsville Rd Yadkinville, North Carolina, 27055",3364632875,http://www.facebook.com/hanoverparkwines,http://www.pinterest.com/hanoverpark1897,"Couples can celebrate with up to 250 guests at their wedding when they choose Hanover Park Vineyard. Ceremonies outside the barn capture the natural beauty of the farm-like vineyard property. Rows of grapevines make a geometric and aesthetically pleasing setting for a couple beginning their lives together. Ceremonies can also be held in the barn, where couples hosting their ceremony outdoors can celebrate their reception. This barn features all the typical country elements couples would hope to find in a rustic venue. The large open structure features ceilings that stretch up two stories high with rustic wooden beams supporting them. These beams become columns lining the floor down the center of the room. The entire interior of the structure is made of wood with brick accents, glass windows, and a loft at one end of the building.", 
23,The Legacy at Gregory Downs,http://legacyatgregorydowns.com,"5622 NC-205, Marshville, NC 28103 Marshville, NC, 28103",7046076630,https://www.facebook.com/legacyatgregorydowns,https://www.instagram.com/legacyatgregorydowns,"The Legacy at Gregory Downs can accommodate up to 300 guests on your wedding day. With both indoor and outdoor locations available, there is something to suit everyone. The day can begin in their get-ready suites, where couples can prepare and relax. Their open-air venue would be ideal for a light-filled ceremony surrounded by nature. Journeying inside, the quaint, small pole barn is the perfect pastoral setting. You and your loved ones can enjoy the many scenic views around the property and take some pictures that will last a lifetime.", 
24,Luna's Trail Farm and Event Center,http://lunastrail.com,"1155 Wilson Farm Rd Westfield, NC, 27053",3363512052,https://www.facebook.com/lunastrailfarm,https://twitter.com/lunastrail,"Across 350 acres of farmland, this property has two event spaces, The Venue and The Lodge, which are each capable of accommodating an indoor or outdoor wedding and reception. The two event spaces are spread very far apart across the property, with multiple woodland areas in between, to preserve the privacy each event deserves. They can be combined for a full property experience or rented separately as desired. The Venue has a rustic feel but is equipped with heating, air conditioning, audiovisual equipment, a portable stage, dance floor, four bathrooms, three fireplaces, and a caterer's kitchen. The richness of the warm, wooden walls, the tin ceilings, and the natural light from the windows create a venue with an elegant, vintage appeal. Outside the barn, there is a pergola with hanging cafe lights and a large fire pit on the back patio. The Venue can accommodate up to 250 people for a reception or ceremony. The Big Creek Lodge provides an additional entertainment and accommodation space for guests with views of Pilot Mountain, Hanging Rock, and Sauratown Mountain. A large pergola extends along the eastern side of the building, complete with hanging cafe lights, fans, and three fire tables. The ceremony room is lined inside and out with a Doggett Stone veneer and features lots of natural light. There is a large open area for the main event, complete with recessed ceilings up to 13 feet high and vertical tongue and groove paneling. The bar area is adjacent to the Event Center and serves as the main bar. The Lounge area is multi-purpose, primarily serving as the main area for weekend guests to enjoy meals outside of the events, serving as the main buffet area during events, and also as a convenient lounging area for guests. All areas of the venue are heated and air-conditioned, with a total of 6 restrooms to accommodate larger groups. The venue features on-site parking and is wheelchair accessible.", 
